year,sourceId,targetId,id,type,citationcount,count
2000,p0153,p0340,573696e56e3b12023e5e42b8,Co-co-author,6,1
2000,p0153,p0863,573696e56e3b12023e5e42b8,Co-co-author,6,1
2000,p0153,p1933,573696e56e3b12023e5e42b8,Co-co-author,6,1
2000,p0153,p2219,573696e56e3b12023e5e42b8,Co-co-author,6,1
2000,p0153,p2316,573696e56e3b12023e5e42b8,Co-co-author,6,1
2000,p0227,p0153,53e9bc9db7602d970491d5ef,Co-co-author,247,1
2000,p0227,p0552,53e9bc9db7602d970491d5ef,Co-co-author,247,1
2000,p0227,p2688,53e9990db7602d970214c1f7,Co-co-author,3,1
2000,p0227,p2843,53e9bc9db7602d970491d5ef,Co-co-author,247,1
2000,p0395,p0227,53e99997b7602d97021d89db,Co-co-author,424,1
2000,p0395,p0227,53e9a50eb7602d9702e2f846,Co-co-author,251,1
2000,p0561,p1533,53e9a84eb7602d9703196540,Co-co-author,3,1
2000,p0686,p0096,5550408b45ce0a409eb34f3f,Co-co-author,39,1
2000,p0686,p0227,5550408b45ce0a409eb34f3f,Co-co-author,39,1
2000,p0686,p0340,5550408b45ce0a409eb34f3f,Co-co-author,39,1
2000,p0686,p1088,5550408b45ce0a409eb34f3f,Co-co-author,39,1
2000,p0686,p1544,5550408b45ce0a409eb34f3f,Co-co-author,39,1
2000,p0701,p0088,53e9ae8ab7602d97038abd71,Co-co-author,5,1
2000,p0701,p0227,53e9ae8ab7602d97038abd71,Co-co-author,5,1
2000,p0861,p0227,53e9b8e8b7602d97044cb100,Co-co-author,18,1
2000,p0861,p1608,53e9b8e8b7602d97044cb100,Co-co-author,18,1
2000,p0861,p3075,53e9b8e8b7602d97044cb100,Co-co-author,18,1
2000,p0924,p0568,53e9ba11b7602d9704611ba1,Co-co-author,20,1
2000,p0924,p1533,53e9ba11b7602d9704611ba1,Co-co-author,20,1
2000,p0924,p2678,53e9ba11b7602d9704611ba1,Co-co-author,20,1
2000,p1007,p0227,53e9be35b7602d9704af43e7,Co-co-author,77,1
2000,p1063,p0178,53e9b4dfb7602d9704002758,Co-co-author,38,1
2000,p1063,p1242,53e9b4dfb7602d9704002758,Co-co-author,38,1
2000,p1063,p1898,53e9b4dfb7602d9704002758,Co-co-author,38,1
2000,p1077,p0227,53e9af00b7602d97039328b8,Co-co-author,256,1
2000,p1321,p0227,53e9b9c1b7602d97045b7d0b,Co-co-author,0,1
2000,p1495,p0028,53e9a8ccb7602d970321d52b,Co-co-author,121,1
2000,p1495,p0227,53e9a8ccb7602d970321d52b,Co-co-author,121,1
2000,p1495,p0263,53e9a8ccb7602d970321d52b,Co-co-author,121,1
2000,p1505,p0508,53e9a832b7602d970317a15b,Co-co-author,181,1
2000,p1505,p1757,53e9a832b7602d970317a15b,Co-co-author,181,1
2000,p1505,p2578,53e9a832b7602d970317a15b,Co-co-author,181,1
2000,p1652,p0594,53e997ecb7602d9701fe977b,Co-co-author,162,1
2000,p1652,p2578,53e997ecb7602d9701fe977b,Co-co-author,162,1
2000,p1898,p0178,558aa405e4b0b32fcb37ff5b,Co-co-author,24,1
2000,p1898,p1063,558aa405e4b0b32fcb37ff5b,Co-co-author,24,1
2000,p1898,p1942,558aa405e4b0b32fcb37ff5b,Co-co-author,24,1
2000,p2501,p0227,53e99d65b7602d9702622034,Co-co-author,206,1
2000,p2501,p0340,53e99d65b7602d9702622034,Co-co-author,206,1
2000,p2501,p0861,53e99d65b7602d9702622034,Co-co-author,206,1
2000,p2566,p1533,53e9bb1cb7602d9704757b0e,Co-co-author,72,1
2001,p0227,p1007,53e9b4a5b7602d9703fb5052,Co-co-author,81,1
2001,p0227,p1749,53e99838b7602d9702061af7,Co-co-author,364,1
2001,p0395,p0227,53e99e54b7602d970271766b,Co-co-author,19,1
